  1  & -2.67 & -7.55 & -10.75 & -11.36 \\
  4  & -3.47 & -8.95 & -8.63 & -9.14 \\
  7  & -7.96 & -10.46 & -9.97 & -9.97 \\
 10  & -12.63 & -13.38 & -13.35 & -13.32 \\
